date_time,target_carbon_monoxide,target_benzene,target_nitrogen_oxides
2011-01-01 00:00:00,2.0,5.0,367.0
2011-01-01 01:00:00,2.0,7.0,547.0
2011-01-01 02:00:00,2.0,7.0,440.0
2011-01-01 03:00:00,2.0,8.0,426.0
2011-01-01 04:00:00,2.0,6.0,316.0
2011-01-01 05:00:00,1.0,4.0,241.0
2011-01-01 06:00:00,1.0,5.0,275.0
2011-01-01 07:00:00,1.0,4.0,240.0
2011-01-01 08:00:00,1.0,3.0,208.0
2011-01-01 09:00:00,1.0,3.0,204.0
2011-01-01 10:00:00,1.0,5.0,220.0
2011-01-01 11:00:00,1.0,4.0,239.0
2011-01-01 12:00:00,2.0,7.0,296.0
2011-01-01 13:00:00,2.0,9.0,411.0
2011-01-01 14:00:00,2.0,8.0,365.0
2011-01-01 15:00:00,2.0,6.0,348.0
2011-01-01 16:00:00,2.0,8.0,344.0
2011-01-01 17:00:00,2.0,10.0,454.0
2011-01-01 18:00:00,4.0,16.0,748.0
2011-01-01 19:00:00,3.0,12.0,566.0
2011-01-01 20:00:00,2.0,7.0,453.0
2011-01-01 21:00:00,2.0,8.0,361.0
2011-01-01 22:00:00,2.0,6.0,324.0
2011-01-01 23:00:00,2.0,5.0,336.0
2011-01-02 00:00:00,1.0,5.0,279.0
2011-01-02 01:00:00,1.0,4.0,266.0
2011-01-02 02:00:00,1.0,3.0,195.0
2011-01-02 03:00:00,1.0,4.0,248.0
2011-01-02 04:00:00,1.0,4.0,192.0
2011-01-02 05:00:00,1.0,3.0,199.0
2011-01-02 06:00:00,1.0,3.0,166.0
2011-01-02 07:00:00,1.0,3.0,202.0
2011-01-02 08:00:00,1.0,3.0,153.0
2011-01-02 09:00:00,1.0,5.0,226.0
2011-01-02 10:00:00,1.0,5.0,209.0
2011-01-02 11:00:00,2.0,6.0,367.0
2011-01-02 12:00:00,2.0,7.0,397.0
2011-01-02 13:00:00,2.0,8.0,447.0
2011-01-02 14:00:00,2.0,8.0,396.0
2011-01-02 15:00:00,2.0,6.0,337.0
