date_time,target_carbon_monoxide,target_benzene,target_nitrogen_oxides
2011-01-01 00:00:00,2.0,6.0,302.0
2011-01-01 01:00:00,3.0,10.0,451.0
2011-01-01 02:00:00,2.0,9.0,406.0
2011-01-01 03:00:00,2.0,10.0,405.0
2011-01-01 04:00:00,2.0,7.0,314.0
2011-01-01 05:00:00,1.0,6.0,238.0
2011-01-01 06:00:00,2.0,6.0,271.0
2011-01-01 07:00:00,1.0,6.0,244.0
2011-01-01 08:00:00,1.0,5.0,209.0
2011-01-01 09:00:00,1.0,4.0,195.0
2011-01-01 10:00:00,1.0,6.0,230.0
2011-01-01 11:00:00,1.0,6.0,233.0
2011-01-01 12:00:00,2.0,9.0,291.0
2011-01-01 13:00:00,3.0,12.0,389.0
2011-01-01 14:00:00,2.0,11.0,353.0
2011-01-01 15:00:00,2.0,8.0,305.0
2011-01-01 16:00:00,2.0,10.0,322.0
2011-01-01 17:00:00,3.0,13.0,391.0
2011-01-01 18:00:00,4.0,18.0,676.0
2011-01-01 19:00:00,3.0,14.0,524.0
2011-01-01 20:00:00,2.0,9.0,405.0
2011-01-01 21:00:00,2.0,10.0,375.0
2011-01-01 22:00:00,2.0,8.0,315.0
2011-01-01 23:00:00,2.0,7.0,308.0
2011-01-02 00:00:00,2.0,7.0,277.0
2011-01-02 01:00:00,2.0,6.0,254.0
2011-01-02 02:00:00,1.0,4.0,183.0
2011-01-02 03:00:00,2.0,5.0,252.0
2011-01-02 04:00:00,1.0,5.0,204.0
2011-01-02 05:00:00,1.0,4.0,204.0
2011-01-02 06:00:00,1.0,4.0,179.0
2011-01-02 07:00:00,1.0,4.0,203.0
2011-01-02 08:00:00,1.0,4.0,168.0
2011-01-02 09:00:00,1.0,6.0,247.0
2011-01-02 10:00:00,1.0,6.0,224.0
2011-01-02 11:00:00,2.0,8.0,349.0
2011-01-02 12:00:00,2.0,9.0,370.0
2011-01-02 13:00:00,2.0,10.0,396.0
2011-01-02 14:00:00,2.0,10.0,351.0
2011-01-02 15:00:00,2.0,7.0,295.0
2011-01-02 16:00:00,3.0,12.0,416.0
2011-01-02 17:00:00,2.0,9.0,370.0
2011-01-02 18:00:00,2.0,10.0,406.0
2011-01-02 19:00:00,3.0,14.0,561.0
2011-01-02 20:00:00,3.0,14.0,545.0
2011-01-02 21:00:00,2.0,-1.0,166.0
2011-01-02 22:00:00,2.0,-1.0,175.0
2011-01-02 23:00:00,2.0,-1.0,175.0
2011-01-03 00:00:00,2.0,-1.0,193.0
2011-01-03 01:00:00,3.0,-1.0,203.0
2011-01-03 02:00:00,2.0,-1.0,197.0
2011-01-03 03:00:00,2.0,-1.0,182.0
2011-01-03 04:00:00,2.0,-1.0,179.0
2011-01-03 05:00:00,2.0,-1.0,177.0
2011-01-03 06:00:00,2.0,-1.0,157.0
2011-01-03 07:00:00,2.0,-1.0,185.0
2011-01-03 08:00:00,2.0,-1.0,174.0
2011-01-03 09:00:00,2.0,-1.0,180.0
2011-01-03 10:00:00,2.0,-1.0,185.0
2011-01-03 11:00:00,2.0,-1.0,175.0
2011-01-03 12:00:00,2.0,-1.0,171.0
2011-01-03 13:00:00,2.0,-1.0,178.0
2011-01-03 14:00:00,2.0,-0.0,163.0
